epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.3813,1.88747,3.16739,1.70927,0.09359,0.36777,0.10602,0.05864,1.80663,3.5228,1.84867,0.000657407,0.000657407,0.067787
2,41.8162,1.8198,2.57836,1.6548,0.62688,0.32341,0.4061,0.23765,1.83812,3.0997,1.87636,0.00121484,0.00121484,0.0350111
3,61.3631,1.75893,2.36867,1.67703,0.80759,0.38909,0.46026,0.26038,1.85018,3.25194,1.85621,0.00166227,0.00166227,0.00212523
4,80.7754,1.78136,2.29177,1.69872,0.3608,0.46775,0.47391,0.2811,1.77315,2.6638,1.68411,0.001505,0.001505,0.001505
5,100.146,1.69656,2.17621,1.63647,0.73145,0.39219,0.49024,0.26234,1.79378,2.58439,1.68937,0.00134,0.00134,0.00134
6,119.452,1.6945,2.1307,1.60887,0.5731,0.56131,0.57809,0.34631,1.63916,2.66766,1.54749,0.001175,0.001175,0.001175
7,138.768,1.56993,1.98633,1.54269,0.52915,0.61032,0.64213,0.38271,1.64369,1.94771,1.52596,0.00101,0.00101,0.00101
8,158.506,1.5804,1.94484,1.5237,0.62578,0.62949,0.64292,0.38519,1.57125,1.95953,1.49725,0.000845,0.000845,0.000845
9,177.274,1.40201,1.80945,1.44407,0.78535,0.54319,0.66646,0.39356,1.53264,1.79263,1.42991,0.00068,0.00068,0.00068
10,196.639,1.32328,1.68317,1.39753,0.61562,0.68852,0.68853,0.41159,1.48722,1.62681,1.39867,0.000515,0.000515,0.000515
11,215.487,1.26831,1.54352,1.3618,0.64111,0.65706,0.72973,0.44169,1.46939,1.65072,1.37161,0.00035,0.00035,0.00035
12,234.456,1.23182,1.48805,1.33671,0.79389,0.60355,0.74902,0.46277,1.40675,1.55568,1.33302,0.000185,0.000185,0.000185
